83;01089;01500;Château-gaillard;1027;64;45.96;5.30;878075;6543736
84;01090;01320;Châtenay;276;18;46.03;5.20;870149;6550175
85;01091;01200;Châtillon-en-michaille;2189;58;46.13;5.78;914599;6562688
86;01092;01320;Châtillon-la-palud;874;62;45.96;5.25;874205;6543624
87;01093;01400;Châtillon-sur-chalaronne;3786;211;46.11;4.96;852115;6559697
88;01094;01190;Chavannes-sur-reyssouze;565;34;46.43;5.00;853559;6594170
89;01095;01250;Chavannes-sur-suran;419;19;46.26;5.41;886342;6577313
90;01096;01660;Chaveyriat;766;45;46.18;5.06;859661;6566555
91;01097;01510;Chavornay;175;23;45.88;5.70;909375;6534727
92;01098;01300;Chazey-bons;684;65;45.80;5.68;908126;6525796
93;01099;01150;Chazey-sur-ain;895;41;45.90;5.25;874426;6535854
94;01100;01510;Cheignieu-la-balme;110;18;45.83;5.61;903358;6528969
95;01101;01430;Chevillard;137;21;46.11;5.58;899202;6561054
96;01102;01190;Chevroux;586;34;46.38;4.95;849858;6588523
97;01103;01170;Chevry;733;126;46.28;6.03;933250;6580043
98;01104;01200;Chézery-forens;357;8;46.21;5.88;921951;6572953
99;01105;01390;Civrieux;954;48;45.91;4.88;845696;6537324
100;01106;01250;Cize;112;25;46.20;5.43;887351;6569567
101;01107;01230;Cleyzieu;84;11;45.90;5.43;888376;6536267
102;01108;01270;Coligny;1117;66;46.38;5.35;880590;6589360
103;01109;01550;Collonges;1000;62;46.13;5.90;923859;6563021
104;01110;01300;Colomieu;114;19;45.73;5.61;903727;6517870
105;01111;01230;Conand;56;4;45.88;5.46;891546;6534143
106;01112;01430;Condamine;248;53;46.11;5.56;898431;6561029
107;01113;01400;Condeissiat;581;27;46.16;5.08;860461;6565466
108;01114;01200;Confort;449;39;46.15;5.81;917606;6565017
109;01115;01310;Confrançon;805;44;46.26;5.06;859399;6576547
110;01116;01300;Contrevoz;416;29;45.80;5.63;904245;6525665
111;01117;01300;Conzieu;79;11;45.73;5.60;902172;6517818
112;01118;01420;Corbonod;841;27;45.95;5.81;918399;6542821
113;01119;01110;Corcelles;207;15;46.03;5.58;899529;6551065
114;01120;01120;Cordieux;0;0;45.91;5.03;857318;6537612
115;01121;01110;Corlier;76;14;46.03;5.50;893344;6550866
116;01122;01110;Cormaranche-en-bugey;704;37;45.95;5.60;901368;6542236
117;01123;01290;Cormoranche-sur-saône;780;79;46.23;4.83;841024;6571649
118;01124;01560;Cormoz;502;26;46.45;5.23;871152;6596864
119;01125;01250;Corveissiat;437;19;46.23;5.48;891100;6573016
120;01127;01370;Courmangoux;327;22;46.33;5.36;882293;6583856
121;01128;01560;Courtes;194;21;46.46;5.10;861118;6598810
122;01129;01320;Crans;209;16;45.96;5.21;871883;6543558
123;01130;01340;Cras-sur-reyssouze;846;61;46.30;5.16;867006;6580084
124;01131;01200;Craz-en-michaille;0;0;46.03;5.76;914217;6551563
125;01133;01350;Cressin-rochefort;250;32;45.76;5.76;915230;6522707
126;01134;01620;Crottet;1313;108;46.28;4.90;846284;6577328
127;01136;01290;Cruzilles-lès-mépillat;580;49;46.21;4.88;844903;6570630
128;01137;01370;Cuisiat;0;0;46.30;5.38;883163;6580549
129;01138;01350;Culoz;2639;136;45.85;5.78;915694;6531613
130;01139;01560;Curciat-dongalon;449;19;46.46;5.15;864953;6598914
131;01140;01310;Curtafond;422;34;46.26;5.08;860168;6576567
132;01142;01120;Dagneux;3317;499;45.85;5.06;860621;6529921
133;01143;01220;Divonne-les-bains;5580;165;46.36;6.13;940548;6590331
134;01144;01380;Dommartin;537;31;46.34;4.99;853044;6584159
135;01145;01240;Dompierre-sur-veyle;828;28;46.06;5.20;870025;6554616
136;01146;01400;Dompierre-sur-chalaronne;268;56;46.13;4.90;846685;6560675
137;01147;01270;Domsure;436;29;46.41;5.30;876620;6593688
138;01148;01590;Dortan;2107;116;46.31;5.66;905398;6583483
139;01149;01500;Douvres;606;115;45.98;5.36;883460;6545006
